Tray;NR;X;Y;W;H;Z;Footprint;Value;Vision
Tray1;0;5.0;250.0;50.0;50.0;10.0;0603-ARC;47K;{}
Tray1;1;55.0;250.0;50.0;50.0;10.0;Right;Qwiic;{}
Tray1;2;105.0;250.0;50.0;50.0;10.0;SOT363;BSS138PS;{}
Tray1;3;155.0;250.0;50.0;50.0;10.0;ESP-WROOM32;ESP-WROOM32;{}
Tray1;4;5.0;300.0;50.0;50.0;10.0;SEEED-SWITCH_SW4-SMD-4.2X3.2X2.5MM;DHT-4235A;{111222:7777}
Tray1;5;55.0;300.0;50.0;50.0;10.0;SOT89;HT7333;{}
Tray1;6;105.0;300.0;50.0;50.0;10.0;U.FL;U.FL;{}
Tray1;7;155.0;300.0;50.0;50.0;10.0;PSON127P500X600X82-9N;SIM-ST-MFF2;{}
